epoch,train_acc,train_loss,test_acc,test_loss
0.0,95.34,0.11728747526207302,98.94,0.030606319021899253
1.0,98.745,0.035537346820288064,99.26,0.02001971995923668
2.0,99.05000000000001,0.02734096422555703,99.18,0.024008575078914872
3.0,99.02499999999999,0.026644194610652667,98.76,0.037582534315151864
4.0,99.425,0.01635199736013914,99.26,0.024382281376165337
5.0,99.57000000000001,0.0113546552513785,99.16,0.02382109306563507
6.0,99.61,0.010903432039850497,99.48,0.018714739805727732
7.0,99.67,0.010310186025291634,99.3,0.023075994652754162
8.0,99.7,0.009126147090256968,99.32,0.023064603207603795
9.0,99.81,0.0061857541831493185,99.22,0.029275833979045273
